Book,Subtitle,Authors,Page Count,Description,Snippet,Publisher
Throwing Rocks At The Google Bus,How Growth Became the Enemy of Prosperity,['Douglas Rushkoff'],288,"The promise and perils of the digital economy - and how we can use it to create prosperity for all The digital economy was supposed to create a new age of prosperity for everyone. But as Facebook resells our data for billions and self-driving cars threaten to put drivers out of work, it has so far only exacerbated the gap between winners and losers. Yet the possibility of an economic Renaissance still lingers - if we seize the opportunity now. In The Growth Trap, Douglas Rushkoff identifies this crucial economic turning point and calls on everyone to remake the economic operating system from the inside out - to redistribute wealth and prosper along the way. With practical steps matched by incisive analysis, The Growth Trap offers a pragmatic, optimistic, and human-centered model for economic progress in the digital age.","In The Growth Trap, Douglas Rushkoff identifies this crucial economic turning point and calls on everyone to remake the economic operating system from the inside out - to redistribute wealth and prosper along the way.",Penguin UK
Blockchain: The Next Everything,The Next Everything,['Stephen P. Williams'],208,,The perfect book for everybody who's either never heard of Blockchain or simply wants to know more about the technology which is about to transform the world we live in for the better. What is blockchain?,Scribner
Decline & Fall: The End Of Empire,,['Edward Gibbon'],428,,,
The Long Descent,A User's Guide to the End of the Industrial Age,['John Michael Greer'],273,"Americans are expressing deep concern about US dependence on petroleum, rising energy prices and the threat of climate change. Unlike the energy crisis of the 1970s, however, there is a lurking fear that, now, the times are different and the crisis may not easily be resolved. The Long Descent examines the basis of such fear through three core themes: Industrial society is following the same well-worn path that has led other civilizations into decline, a path involving a much slower and more complex transformation than the sudden catastrophes imagined by so many social critics today. The roots of the crisis lie in the cultural stories that shape the way we understand the world. Since problems cannot be solved with the same thinking that created thyem, these ways of thinking need to be replaced with others better suited to the needs of our time. It is too late for massive programs for top-down change; the change must come from individuals. Hope exists in actions that range from taking up a handicraft or adopting an ""obsolete"" technology, through planting an organic vegetable garden, taking charge of your own health care or spirituality, and building community. Focusing eloquently on constructive adaptation to massive change, this book will have wide appeal.","Focusing eloquently on constructive adaptation to massive change, this book will have wide appeal.",New Society Publishers
Hazardous Drinking,A Handbook for General Practitioners,"['Benno Pollak', 'Andrew Smith', 'David Gordon Wilson', 'Bruce Ritson']",60,,,
Super Sense,The Science of Your 32 Senses and How to Use Them,['Emma Young'],384,"How do you sniff out danger? What is a sense of direction or a gut instinct? You know about your five senses: hearing, sight, smell, taste and touch. But recent research has shown that we actually have at least thirty-two. We take our senses for granted but what would be possible if we properly understood how they all work? Award-winning science writer Emma Young has spent over a decade finding out, and in Super Senses she takes us on an exhilarating sensory journey, revealing how we taste things without using our tongues, why swearing is good for us and why both chocolate and rollercoasters can help you fall in love. Using the very latest cutting-edge research, she explains the exploits of record-breaking freedivers, whirling dervishes, super-tasters, stock market millionaires, and many more. Discover how touch can ease pain, how taking your pulse can make you fitter and why Abba's Dancing Queen sounds different in Bolivia. Sharing surprising secrets from blind ballerinas, voodoo priests and even a nurse who can smell Parkinson's disease before it is diagnosed, Super Senses uncovers the science behind these abilities that make us human - and offers fascinating lessons in how we can all learn to use them better. Could being more sensitive make us happier, healthier - or even wealthier?","Award-winning science writer Emma Young has spent over a decade finding out, and in Super Senses she takes us on an exhilarating sensory journey, revealing how we taste things without using our tongues, why swearing is good for us and why ...",Hachette UK
Seventeenth Century Empire,,['Ronald W. Ferrier (Ed.)'],,,,
Outer Space,,"['Christian Brünner', 'Alexander Soucek']",876,"Spaceflight is a rational undertaking, yet full of emotions. It is a dream of mankind and a multi-billion industry likewise. It is subject to a distinct branch of law – and moreover part of modern pop culture. In short: spaceflight is fascinating. “Outer Space in society, politics and law” is an inter-disciplinary approach to the understanding of modern space law. Technical, cultural and historical aspects lay the foundation for a sound comprehension why space law norms have been established and what they mean in practice. The reader will realize the impact space and spaceflight have on society – from Stonehenge to climate change. A new approach to presenting space law: comprehensive and illustrative. “We live in a society absolutely dependent on science and technology and yet have cleverly arranged things so that almost no one understands science and technology. That's a clear prescription for disaster.” Carl Sagan","Spaceflight is a rational undertaking, yet full of emotions. It is a dream of mankind and a multi-billion industry likewise. It is subject to a distinct branch of law – and moreover part of modern pop culture.",Springer Science & Business Media
The History Of Philosophy,,['A. C. Grayling'],0,"Takes the reader from the world-views and moralities before the age of the Buddha, Confucius and Socrates, through Christianity's dominance of the European mind to the Renaissance and Enlightenment, and on to Mill, Nietzsche, Sartre, and philosophy today, including a comparative survey of the great philosophical traditions of India, China and the Persian-Arabic world","The first authoritative and accessible single-volume history of philosophy for decades, remarkable for its range and clarity, this is a landmark work.",Viking
"Rich, Free And Miserable",The Failure of Success in America,['John Brueggemann'],252,"Compared to much of the rest of the world, America and its citizens are rich. But many people are also deeply miserable—at work, at home, or both. In this provocative book, author John Brueggemann unpacks why so many people are struggling, both emotionally and financially, in a nation that looks so prosperous on the surface. From a hospital patient reduced to a balance sheet to a parent working such long hours that he misses dinner, Brueggemann argues that market thinking has permeated every corner of our lives. In the pursuit of more and better, relationships erode, to the detriment of individuals, communities, and the nation as a whole. Rich, Free, and Miserable not only outlines these pressing social problems, but also offers practical suggestions for people looking to make a positive change.","In this provocative book, author John Brueggemann unpacks why so many people are struggling, both emotionally and financially, in a nation that looks so prosperous on the surface.",Rowman & Littlefield
Living In The Long Emergency,"Global Crisis, the Failure of the Futurists, and the Early Adapters Who Are Showing Us the Way Forward",['James Howard Kunstler'],232,"Forget the speculation of pundits and media personalities. For anyone asking ""Now what?"" the answer is out there. You just have to know where to look. In his 2005 book, The Long Emergency, James Howard Kunstler described the global predicaments that would pitch the USA into political and economic turmoil in the 21st century—the end of affordable oil, climate irregularities, and flagging economic growth, to name a few. Now, he returns with a book that takes an up-close-and-personal approach to how real people are living now—surviving The Long Emergency as it happens. Through his popular blog, Clusterf*ck Nation, Kunstler has had the opportunity to connect with people from across the country. They've shared their stories with him—sometimes over years of correspondence—and in Living in the Long Emergency: Global Crisis, the Failure of the Futurists, and the Early Adapters Who Are Showing Us the Way Forward, he shares them with us, offering an eye-opening and unprecedented look at what's really going on ""out there"" in the US—and beyond. Kunstler also delves deep into his past predictions, comparing and contrastingt hem with the way things have unfolded with unflinching honesty. Further, he turns an eye to what's ahead, laying out the strategies that will help all of us as we navigate this new world. With personal accounts from a Vermont baker, homesteaders, a building contractor in the Baltimore ghetto, a white nationalist, and many more, Living in the Long Emergency is a unique and timely exploration of how the lives of everyday Americans are being transformed, for better and for worse, and what these stories tell us both about the future and about human perseverance.","With personal accounts from a Vermont baker, homesteaders, a building contractor in the Baltimore ghetto, a white nationalist, and many more, Living in the Long Emergency is a unique and timely exploration of how the lives of everyday ...",BenBella Books
The Long Emergency,"Surviving the End of Oil, Climate Change, and Other Converging Catastrophes of the Twenty-First Century",['James Howard Kunstler'],344,"A “frightening and important” look at our unsustainable future (Time Out Chicago). A controversial hit that has sparked debate among business leaders, environmentalists, and others, The Long Emergency is an eye-opening look at the unprecedented challenges we face in the years ahead, as oil runs out and the global systems built on it are forced to change radically. From the author of The Geography of Nowhere, it is a book that “should be read, digested, and acted upon by every conscientious U.S. politician and citizen” (Michael Shuman, author of Going Local: Creating Self-Reliant Communities in a Global Age).","A controversial hit that has sparked debate among business leaders, environmentalists, and others, The Long Emergency is an eye-opening look at the unprecedented challenges we face in the years ahead, as oil runs out and the global systems ...",Open Road + Grove/Atlantic
Dawkins & Greene,Atheist fundamentalism and the denial of the divine,['Alister McGrath'],87,"World-renowned scientist Richard Dawkins writes in The God Delusion: 'If this book works as I intend, religious readers who open it will be atheists when they put it down'. The volume has received wide coverage, fuelled much passionate debate and caused not a little confusion. Alister McGrath is ideally placed to evaluate Dawkins' ideas. Once an atheist himself, he gained a doctorate in molecular biophysics before going on to become a leading Christian theologian. He wonders how two people, who have reflected at length on substantially the same world, could possibly have come to such different conclusions about God. McGrath subjects Dawkins' critique of faith to rigorous scrutiny. His exhilarating, meticulously argued response deals with questions such as: Is faith intellectual nonsense? Are science and religion locked in a battle to the death? Can the roots of Christianity be explained away scientifically? Is Christianity simply a force for evil? This book will be warmly received by those looking for a reliable assessment of The God Delusion and the many questions it raises - including, above all, the relevance of faith and the quest for meaning.","World-renowned scientist Richard Dawkins writes in The God Delusion: 'If this book works as I intend, religious readers who open it will be atheists when they put it down'.",SPCK
In Defense Of Elitism,,"['William A. Henry, III']",224,"From the Pulitzer Prize-winning culture critic for Time magazine comes the tremendously controversial, yet highly persuasive, argument that our devotion to the largely unexamined myth of egalitarianism lies at the heart of the ongoing ""dumbing of America."" Americans have always stubbornly clung to the myth of egalitarianism, of the supremacy of the individual average man. But here, at long last, Pulitzer Prize-winning critic William A. Henry III takes on, and debunks, some basic, fundamentally ingrained ideas: that everyone is pretty much alike (and should be); that self-fulfillment is more imortant thant objective achievement; that everyone has something significant to contribute; that all cultures offer something equally worthwhile; that a truly just society would automatically produce equal success results across lines of race, class, and gender; and that the common man is almost always right. Henry makes clear, in a book full of vivid examples and unflinching opinions, that while these notions are seductively democratic they are also hopelessly wrong.","But here, at long last, Pulitzer Prize-winning critic William A. Henry III takes on, and debunks, some basic, fundamentally ingrained ideas: that everyone is pretty much alike (and should be); that self-fulfillment is more imortant thant ...",Anchor
"The Madness Of Crowds: Gender, Race And Identity","Gender, Race and Identity",['Douglas Murray'],305,Inhaltsverzeichnis: Gay -- Interlude: the Marxist foundations -- Women -- Interlude: the impact of tech -- Race -- Interlude: on forgiveness -- Trans -- Conclusion.,Inhaltsverzeichnis: Gay -- Interlude: the Marxist foundations -- Women -- Interlude: the impact of tech -- Race -- Interlude: on forgiveness -- Trans -- Conclusion.,Bloomsbury Publishing
End Times,A Visual Guide to Understanding Bible Prophecy,"['Tim LaHaye', 'Thomas Ice']",146,"Bestselling author Tim LaHaye and prophecy expert Thomas Ice teamed up to produce a visual resource unmatched by anything available in the Christian book marketplace! The result of decades of careful research and Bible study, the charts and well-written explanatory text provide a fascinating picture of the times ahead. Charting the End Times includes... A foldout portraying God's complete plan for the ages More than 50 full-color charts and diagrams Timelines of the end times A comprehensive overview of the key elements of the last days Clear answers to tough end-times questions Providing a wealth of information, this book is certain to become a popular study tool for understanding God's unfolding plan!",A foldout portraying God's complete plan for the ages More than 50 full-color charts and diagrams Timelines of the end times A comprehensive overview of the key elements of the last days Clear answers to tough end-times questions Providing ...,Harvest House Publishers
Until The End Of Time,Revealing the Future of Humankind : a Study of Daniel and Revelation,"['Jack W. Hayford', 'Gary Curtis']",164,"Spirit-filled believers will find new resources for understanding the Bible and applying biblical themes to their day-to-day lives in these interactive study guides. Written from a Pentecostal/Charismatic viewpoint, these interactive studies introduce believers to the books of the Bible and offer a thorough and balanced understanding of key themes of the Bible. By studying the themes of the books, as well as the books themselves, these interactive studies offer groups and individuals a Spirit-filled perspective of the Bible's message for today.",Spirit-filled believers will find new resources for understanding the Bible and applying biblical themes to their day-to-day lives in these interactive study guides.,Thomas Nelson
The Pleasure Principle,,['Sigmund Freud'],65,Controversial 1920 publication expands Freud's theoretical approach to include the death drive. The philosopher's concept of the ongoing struggle between harmony (Eros) and destruction (Thanatos) influenced his subsequent work.,Controversial 1920 publication expands Freud's theoretical approach to include the death drive. The philosopher's concept of the ongoing struggle between harmony (Eros) and destruction (Thanatos) influenced his subsequent work.,Courier Corporation
Civilised To Death,,['Jonathan Pereira'],914,,... <b>death</b> in three hours . Three drachms and a half injected into the cellular tissue of the thigh caused <b>death</b> on the fourth day . Jäger 2 found that half an ounce of ether acted as a fatal poison to a crane : at the end of forty - eight ...,
The Institute,"Third Circular of the Committee, Relating to the Contemplated Meeting to Commence on the First Monday of April 1844 : to which are Added Certain Proceedings of the Board of Manageemnt of the Institute",['National Institute for the Promotion of Science'],4,,,
Moving Pictures: Memories Of A Hollywood Prince,Memories of a Hollywood Prince,['Budd Schulberg'],548,"This utterly candid account of growing up in Hollywood during the 1920s includes unsparing portraits of outsized characters in all their power, venality, charm, pettiness, and vindictiveness.","This utterly candid account of growing up in Hollywood during the 1920s includes unsparing portraits of outsized characters in all their power, venality, charm, pettiness, and vindictiveness.",Ivan R. Dee Publisher
On Film,Writings of Lev Kuleshov,['Lev Kuleshov'],240,"Lev Kuleshov (1899–1970) was the first aesthetic theorist of the cinema. An outstanding figure in the “montage” school, he was a key influence on Eisenstein and Pudovkin. Kuleshov was the first to see clearly that montage—the assemblage and alternation of shots—was the very essence and structure of cinematic expression, often overriding the significance of the content of the shots themselves. Deriving his insights from close study of American films (particularly D. W. Griffith’s), Kuleshov used his experience in prerevolutionary Russian films and his wartime efforts in Soviet documentaries to conduct experiments in film acting and montage. He developed an editing method later referred to as the “Kuleshov effect” that juxtaposed shots to evoke new meanings from the combinations. In one experiment, he intercut identical shots of an actor’s neutral face with shots of a bowl of soup, a child in a coffin, and a sunny landscape to evoke different emotional responses from the audience. Kuleshov also “synthesized” a nonexistent woman from close-ups of different parts of several women and created artificial landscapes by intercutting shots of locations separated by great distances. Kuleshov taught at the Soviet film school and was a well-known director of features, and Kuleshov on Film contains essays on both the theoretical and practical sides of filmmaking. Influenced by Futurism, Russian Formalism, and structural linguistics, Kuleshov’s analysis can now be seen as semiotic, presaging studies of film as a system of signs. As a Marxist and structuralist, Kuleshov examined form and content with a materialist approach. The translator’s extensive introduction discusses Kuleshov’s use of signs, typage, and other structuralist concepts and places him in the development of semiotic thought. It also provides intriguing biographical detail on Kuleshov’s conflicts with advocates of “socialist realism,” who attempted to stamp out the artistic and theoretical innovations of the early revolutionary years, and establishes Kuleshov’s position as one of the great figures in the evolution of film. Kuleshov on Film is essential reading for everyone seriously concerned with the cinema. This title is part of UC Press's Voices Revived program, which commemorates University of California Press’s mission to seek out and cultivate the brightest minds and give them voice, reach, and impact. Drawing on a backlist dating to 1893, Voices Revived makes high-quality, peer-reviewed scholarship accessible once again using print-on-demand technology. This title was originally published in 1974.",Kuleshov on Film is essential reading for everyone seriously concerned with the cinema.,University of California Press
Capitalist Realism,Is There No Alternative?,['Mark Fisher'],117,An analysis of the ways in which capitalism has presented itself as the only realistic political-economic system.,An analysis of the ways in which capitalism has presented itself as the only realistic political-economic system.,John Hunt Publishing
The Brain With David Eagleman,The Secret Lives of The Brain,['David Eagleman'],329,"*Why can your foot move halfway to the brake pedal before you're consciously aware of danger? *Why do you notice when your name is mentioned in a conversation that you didn't think you were listening to? *Why are people whose name begins with J more likely to marry other people whose name begins with J? *Why is it so difficult to keep a secret? Renowned neuroscientist David Eagleman navigates the depths of the subconscious brain to illuminate these surprising mysteries. Taking in brain damage, drugs, beauty, infidelity, synesthesia, criminal law, artificial intelligence and visual illusions - INCOGNITO is a thrilling subsurface exploration of the mind and all its contradictions.",Renowned neuroscientist David Eagleman navigates the depths of the subconscious brain to illuminate these surprising mysteries.,Canongate Books
Dreamseller,A Novel,['Augusto Cury'],240,"Internationally bestselling author Augusto Cury resumes his Dreamseller saga with this enlightened fable about a mysterious man who continues to transform lives. International bestseller AUGUSTO CURY returns with this enlightening fable about the mysterious dreamseller who continues to touch lives. The Dreamseller, a philosopher dressed in rumpled clothes, travels the country gathering followers and delivering lessons to those in despair. In this uplifting journey, the Dreamseller demonstrates that societies are comprised of anonymous heroes who go unrecognized for their deeds: cancer patients who fight for their lives like warriors, parents who exhaust their bodies and minds to support and educate their children, and teachers who, despite low wages, enhance the minds of their students. The Dreamseller: The Revolution reveals that the history of mankind is complex: written with tears and joy, tranquillity and anxiety, sanity and madness. Moving, entertaining and inspiring, The Dreamseller: The Revolution leaves readers with a new perspective on life.","Moving, entertaining and inspiring, The Dreamseller: The Revolution leaves readers with a new perspective on life.",Simon and Schuster
Dirty White Boys,A Novel,['Stephen Hunter'],493,"They busted out of McAlester State Penitentiary--three escaped convicts going to ground in a world unprepared for anything like them.... Lamar Pye is prince of the Dirty White Boys. With a lion in his soul, he roars--for he is the meanest, deadliest animal on the loose.... Odell is Lamar's cousin, a hulking manchild with unfeeling eyes. He lives for daddy Lamar. Surely he will die for him.... Richard's survival hangs on a sketch: a crude drawing of a lion and a half-naked woman. For this Lamar has let Richard live... Armed to the teeth, Lamar and his boys have cut a path of terror across the Southwest, and pushed one good cop into a crisis of honor and conscience. Trooper Bud Pewtie should have died once at Lamar's hands. Now they're about to meet again. And this time, only one of them will walk away....",They busted out of McAlester State Penitentiary--three escaped convicts going to ground in a world unprepared for anything like them.... Lamar Pye is prince of the Dirty White Boys.,Dell
Conan Doyle For The Defence,How Sherlock Holmes's Creator Turned Real-Life Detective and Freed a Man Wrongly Imprisoned for Murder,['Margalit Fox'],386,"“A wonderfully vivid portrait of the man behind Sherlock Holmes . . . Like all the best historical true crime books, it’s about so much more than crime.”—Tana French, author of In the Woods A sensational Edwardian murder. A scandalous wrongful conviction. Sir Arthur Conan Doyle to the rescue—a true story. After a wealthy woman was brutally murdered in her Glasgow home in 1908, the police found a convenient suspect in Oscar Slater, an immigrant Jewish cardsharp. Though he was known to be innocent, Slater was tried, convicted, and consigned to life at hard labor. Outraged by this injustice, Arthur Conan Doyle, already world renowned as the creator of Sherlock Holmes, used the methods of his most famous character to reinvestigate the case, ultimately winning Slater’s freedom. With “an eye for the telling detail, a forensic sense of evidence and a relish for research” (The Wall Street Journal), Margalit Fox immerses readers in the science of Edwardian crime detection and illuminates a watershed moment in its history, when reflexive prejudice began to be replaced by reason and the scientific method. Praise for Conan Doyle for the Defense “Artful and compelling . . . [Fox’s] narrative momentum never flags. . . . Conan Doyle for the Defense will captivate almost any reader while being pure catnip for the devotee of true-crime writing.”—The Washington Post “Developed with brio . . . [Fox] is excellent in linking the 19th-century creation of policing and detection with the development of both detective fiction and the science of forensics—ballistics, fingerprints, toxicology and serology—as well as the quasi science of ‘criminal anthropology.’”—The New York Times Book Review “[Fox] has an eye for the telling detail, a forensic sense of evidence and a relish for research.”—The Wall Street Journal “Gripping . . . The book works on two levels, much like a good Holmes case. First, it is a fluid story of a crime. . . . Second, and more pertinently, it is a deeper story of how prejudice against a class of people, the covering up of sloppy police work and a poisonous political atmosphere can doom an innocent. We should all heed Holmes’s salutary lesson: rationally follow the facts to find the truth.”—Time",". . The book works on two levels, much like a good Holmes case. First, it is a fluid story of a crime. . .",Random House Trade Paperbacks
"I, Fatty",,['Jerry Stahl'],290,"In this highly acclaimed novel, the author of Permanent Midnight channels fallen early-Hollywood star Roscoe ""Fatty"" Arbuckle. Fatty tells his own story of success, addiction, and a precipitous fall from grace after being framed for a brutal crime-a national media scandal that set the precedent for those so familiar today.","In this highly acclaimed novel, the author of Permanent Midnight channels fallen early-Hollywood star Roscoe ""Fatty"" Arbuckle.",Bloomsbury Publishing USA
Permanent Midnight,,['Octavus Roy Cohen'],160,"DigiCat Publishing presents to you this special edition of ""Midnight"" by Octavus Roy Cohen. DigiCat Publishing considers every written word to be a legacy of humankind. Every DigiCat book has been carefully reproduced for republishing in a new modern format. The books are available in print, as well as ebooks. DigiCat hopes you will treat this work with the acknowledgment and passion it deserves as a classic of world literature.","The books are available in print, as well as ebooks. DigiCat hopes you will treat this work with the acknowledgment and passion it deserves as a classic of world literature.",DigiCat
Machines Like Me,From the Sunday Times bestselling author of Lessons,['Ian McEwan'],251,"**Number One Sunday Times Bestseller** Charlie, drifting through life and dodging full-time employment, is in love with Miranda, a bright student who lives with a terrible secret. When Charlie comes into money, he buys Adam, one of the first batch of synthetic humans. With Miranda's assistance, he co-designs Adam's personality. This near-perfect human is beautiful, strong and clever - and soon a love triangle forms, which leads Charlie, Miranda and Adam to a profound moral dilemma. Can you design the perfect partner? What makes us human? Our outward deeds or our inner lives? Provocative and moving, Machines Like Me explores whether a machine can ever truly understand the human heart. 'Funny, thought-provoking and politically acute...' Sunday Times 'Dazzling' Guardian 'An unsettling examination of the human condition. Bold, clever' Sunday Telegraph","Can you design the perfect partner? What makes us human? Our outward deeds or our inner lives? Provocative and moving, Machines Like Me explores whether a machine can ever truly understand the human heart.",Random House
The Lost Weekend,The Complete Screenplay,"['Billy Wilder', 'Charles Brackett']",126,"Jane Wyman also delivers a powerful performance as his faithful girlfriend, Helen St. James, whose selfless love offers Birnam a hope of redemption."".","Jane Wyman also delivers a powerful performance as his faithful girlfriend, Helen St. James, whose selfless love offers Birnam a hope of redemption."".",Univ of California Press
Litter: The Remains Of Our Culture,The Remains of Our Culture,['THEODORE. DALRYMPLE'],,,"When a country is covered in trash, what does that say about its culture? This passionate plea by The Oldie columnist Theodore Dalrymple is now published for the first time in paperback.",
Stoic: A Guide To The Good Life,The Ancient Art of Stoic Joy,['William B. Irvine'],336,"One of the great fears many of us face is that despite all our effort and striving, we will discover at the end that we have wasted our life. In A Guide to the Good Life, William B. Irvine plumbs the wisdom of Stoic philosophy, one of the most popular and successful schools of thought in ancient Rome, and shows how its insight and advice are still remarkably applicable to modern lives. In A Guide to the Good Life, Irvine offers a refreshing presentation of Stoicism, showing how this ancient philosophy can still direct us toward a better life. Using the psychological insights and the practical techniques of the Stoics, Irvine offers a roadmap for anyone seeking to avoid the feelings of chronic dissatisfaction that plague so many of us. Irvine looks at various Stoic techniques for attaining tranquility and shows how to put these techniques to work in our own life. As he does so, he describes his own experiences practicing Stoicism and offers valuable first-hand advice for anyone wishing to live better by following in the footsteps of these ancient philosophers. Readers learn how to minimize worry, how to let go of the past and focus our efforts on the things we can control, and how to deal with insults, grief, old age, and the distracting temptations of fame and fortune. We learn from Marcus Aurelius the importance of prizing only things of true value, and from Epictetus we learn how to be more content with what we have. Finally, A Guide to the Good Life shows readers how to become thoughtful observers of their own lives. If we watch ourselves as we go about our daily business and later reflect on what we saw, we can better identify the sources of distress and eventually avoid that pain in our life. By doing this, the Stoics thought, we can hope to attain a truly joyful life.",Irvine looks at various Stoic techniques for attaining tranquility and shows how to put these techniques to work in our own life.,Oxford University Press
Will Storr Vs The Supernatural,One man's search for the truth about ghosts,['Will Storr'],320,"When journalist and ghost sceptic Will Storr heads to Philadelphia to meet Lou Gentile, a demonologist, he expects a little fun with an amusing eccentric. What he gets are terrifying experiences of spectral lights and horrific demonic growling - and all of his safe, adult preconceptions about ghosts instantly vanish. In the cold light of day, Will decides on a quest for the truth about ghosts. He meets professional paranormal investigators and takes part in séances and a vigil in the most haunted house in Britain, tries out divining rods and ouija boards, and goes on set with TV's Most Haunted. But Will also seeks out the sceptics in clinical psychology and philosophy who ask if spirits are really just in our heads. His journey is full of bizarre, terrifying and hilarious experiences, each one a new insight into life, death and what might come after.","When journalist and ghost sceptic Will Storr heads to Philadelphia to meet Lou Gentile, a demonologist, he expects a little fun with an amusing eccentric.",Random House
Desperate Characters,,['Paula Fox'],176,A Great American Novel – from the author of ‘Borrowed Finery’.,A Great American Novel – from the author of ‘Borrowed Finery’.,HarperCollins UK
The English Dane,From King of Iceland to Tasmanian Convict,['Sarah Bakewell'],352,"This gripping nineteenth-century adventure stars Jorgen Jorgenson, who ran away to sea at fourteen and began a brilliant career by sailing to establish the first colony in Tasmania. Twists of fortune then found him captaining a warship for Napoleon before joining a British trading voyage to Iceland, where he staged an outrageous coup and ruled the country for two months. Much lay ahead, from imprisonment in the hulks to patronage by Joseph Banks and travels in Europe as a British spy. But Jorgenson was dogged by his own excesses, and ended up transported as a convict to the very colony he helped to found. Here he reinvented himself again as an explorer, and, despite his sympathy for the people, was caught up in the terrible Aboriginal clearances. Using unpublished sources and letters, Sarah Bakewell tells his astonishing tale with dazzling verve.","Using unpublished sources and letters, Sarah Bakewell tells his astonishing tale with dazzling verve.",Random House
The Science Of Storytelling,Why Stories Make Us Human and How to Tell Them Better,['Will Storr'],304,"The compelling, groundbreaking guide to creative writing that reveals how the brain responds to storytelling Stories shape who we are. They drive us to act out our dreams and ambitions and mold our beliefs. Storytelling is an essential part of what makes us human. So, how do master storytellers compel us? In The Science of Storytelling, award-winning writer and acclaimed teacher of creative writing Will Storr applies dazzling psychological research and cutting-edge neuroscience to our myths and archetypes to show how we can write better stories, revealing, among other things, how storytellers—and also our brains—create worlds by being attuned to moments of unexpected change. Will Storr’s superbly chosen examples range from Harry Potter to Jane Austen to Alice Walker, Greek drama to Russian novels to Native American folk tales, King Lear to Breaking Bad to children’s stories. With sections such as “The Dramatic Question,” “Creating a World,” and “Plot, Endings, and Meaning,” as well as a practical, step-by-step appendix dedicated to “The Sacred Flaw Approach,” The Science of Storytelling reveals just what makes stories work, placing it alongside such creative writing classics as John Yorke’s Into the Woods: A Five-Act Journey into Story and Lajos Egri’s The Art of Dramatic Writing. Enlightening and empowering, The Science of Storytelling is destined to become an invaluable resource for writers of all stripes, whether novelist, screenwriter, playwright, or writer of creative or traditional nonfiction.","The compelling, groundbreaking guide to creative writing that reveals how the brain responds to storytelling Stories shape who we are.",Abrams
Watching The English,The Hidden Rules of English Behaviour,['Kate Fox'],504,"In ""Watching The English"" anthropologist Kate Fox takes a revealing look at the quirks, habits and foibles of the English people. She puts the English national character under her anthropological microscope, and finds a strange and fascinating culture, governed by complex sets of unspoken rules and byzantine codes of behaviour. The rules of weather-speak. The ironic-gnome rule. The reflex apology rule. The paranoid-pantomime rule. Class indicators and class anxiety tests. The money-talk taboo and many more ...Through a mixture of anthropological analysis and her own unorthodox experiments (using herself as a reluctant guinea-pig), Kate Fox discovers what these unwritten behaviour codes tell us about Englishness.","In ""Watching The English"" anthropologist Kate Fox takes a revealing look at the quirks, habits and foibles of the English people.",Hachette UK
Porcelain,"As Recorded in the Dagh-Registers of Batavia Castle, Those of Hirado and Deshima and Other Contemporary Papers ; 1602-1682",['T. Volker'],278,,,Brill Archive
Poverty Safari,Understanding the Anger of Britain's Underclass,['Darren McGarvey'],224,"The Sunday Times Top Ten bestseller. Winner of the Orwell Prize 2018. Named the most 'Rebellious Read of the 21st Century' in a Scottish Book Trust poll. Darren McGarvey has experienced poverty and its devastating effects first-hand. He knows why people from deprived communities all around Britain feel angry and unheard. And he wants to explain . . . So he invites you to come on a safari of sorts. But not the kind where the wildlife is surveyed from a safe distance. This book takes you inside the experience of poverty to show how the pressures really feel and how hard their legacy is to overcome. Arguing that both the political left and right misunderstand poverty as it is actually lived, McGarvey sets out what everybody – including himself – could do to change things. Razor-sharp, fearless and brutally honest, Poverty Safari is an unforgettable insight into modern Britain. 'Another cry of anger from a working class that feels the pain of a rotten, failing system. Its value lies in the strength it will add to the movement for change.' - Ken Loach, director of Kes",But not the kind where the wildlife is surveyed from a safe distance. This book takes you inside the experience of poverty to show how the pressures really feel and how hard their legacy is to overcome.,Pan Macmillan
No Good Deed,,['Manda Scott'],244,"Manda Scott has written a powerful thriller debut, the terrifying tale of a lone woman pitted against an enigmatic killer—a man who deals out death without a second thought... For Detective Inspector Orla McLeod, violence is a way of life. As a child, her own world was ripped apart by a brutal, unforgettable moment of terror. So when the Special Branch operation she is spearheading goes disastrously wrong, she will do everything she can to protect the nine-year-old boy caught in the cross fire. For Jamie Buchanan was the sole witness to an act of savagery committed in cold blood by a man rapidly becoming one of the most feared criminals in Europe. Orla and her partner, Luke Tyler, had risked their lives to infiltrate Tord Svensen’s criminal world. Together they had gone deep undercover in a Glasgow tenement to get close enough to bring him down. Then in a series of harrowing events, everything in Orla’s life would change forever. Now Orla finds herself haunted by the memory of what happened—and tormented by the guilt she feels over her own survival. What keeps her going are the promises she made to her partner Luke and to orphaned Jamie Buchanan. Jamie is the only person who’s seen Tord Svensen’s face, the only one able to ID him. Officially pulled off the Svensen case, Orla spirits Jamie away to the only place she feels safe, a lonely cottage under the shadow of a snowcapped Scottish mountain. But there will be no sanctuary for them in the Highlands. For, like Orla, the hunter who pursues them knows exactly what to do to survive. And that means putting both Orla and her vulnerable young charge in the grave.","Manda Scott has written a powerful thriller debut, the terrifying tale of a lone woman pitted against an enigmatic killer—a man who deals out death without a second thought.",Random House
Infinite Wishes,,['Jennifer Stewart'],,,"""Shelby McGuiness hadn't stopped believing in wishes.",
